Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
1446.0,   5/4/2024, 23:16:10.941750,   5/4/2024, 23:16:10.775107,      Primary,2.0,0.0,-1030.0,2360.0,7010.0,0.8,187.75,8.0,25.8,42.4,5.0,1000000.0,     L2 msmx,16.6,
1476.0,   5/4/2024, 23:17:26.954250,   5/4/2024, 23:17:27.050467,      Primary,2.0,0.0,-1610.0,2500.0,7730.0,-0.02,93.42,8.0,5.3,19.3,3.9,1000000.0,     L2 msmx,7.47,
1519.0,   5/4/2024, 23:19:14.714750,   5/4/2024, 23:19:14.521516,      Primary,2.0,0.0,-1430.0,2410.0,7260.0,-0.3,44.76,8.0,6.8,15.6,3.2,1000000.0,     L2 msmx,7.83,
1553.0,   5/4/2024, 23:20:45.171500,   5/4/2024, 23:20:44.992584,      Primary,2.0,0.0,-1180.0,2440.0,7010.0,-0.26,86.82,8.0,5.0,15.7,1.5,1000000.0,     L2 msmx,7.21,
1686.0,   5/4/2024, 23:26:08.542000,   5/4/2024, 23:26:08.231075,      Primary,2.0,0.0,-1430.0,2270.0,7600.0,0.07,153.05,8.0,7.8,15.0,4.8,1000000.0,     L2 msmx,27.16,
1724.0,   5/4/2024, 23:27:53.129250,   5/4/2024, 23:27:52.953758,      Primary,2.0,0.0,-1300.0,2390.0,7130.0,0.54,187.75,8.0,14.1,30.1,4.5,1000000.0,     L2 msmx,15.18,
1802.0,   5/4/2024, 23:31:40.260250,   5/4/2024, 23:31:40.160473,      Primary,2.0,0.0,-940.0,2340.0,7190.0,0.45,187.75,8.0,24.3,30.2,4.5,1000000.0,     L2 msmx,14.78,
1806.0,   5/4/2024, 23:31:51.680500,   5/4/2024, 23:31:51.817047,      Primary,2.0,0.0,-740.0,3140.0,7180.0,0.36,187.75,8.0,13.8,35.5,2.5,1000000.0,     L2 msmx,7.16,
1905.0,   5/4/2024, 23:36:04.298750,   5/4/2024, 23:36:04.101112,      Primary,2.0,0.0,-1730.0,2580.0,7500.0,-0.29,70.17,8.0,5.6,13.6,2.0,1000000.0,     L2 msmx,7.73,
1956.0,   5/4/2024, 23:38:33.495250,   5/4/2024, 23:38:33.312061,      Primary,2.0,0.0,170.0,3040.0,7460.0,0.24,165.98,8.0,25.5,62.5,3.4,1000000.0,     L2 msmx,11.55,
1963.0,   5/4/2024, 23:38:49.810250,   5/4/2024, 23:38:49.623623,      Primary,2.0,0.0,-270.0,3100.0,7670.0,0.42,187.75,8.0,18.7,26.7,2.9,1000000.0,     L2 msmx,15.22,
1976.0,   5/4/2024, 23:39:31.083500,   5/4/2024, 23:39:30.891766,      Primary,2.0,0.0,-1520.0,2760.0,7280.0,-0.18,72.44,8.0,3.9,5.8,1.8,1000000.0,     L2 msmx,13.56,
2024.0,   5/4/2024, 23:41:43.371750,   5/4/2024, 23:41:43.201199,      Primary,2.0,0.0,-1170.0,2400.0,7040.0,0.23,187.75,8.0,10.8,39.7,3.6,1000000.0,     L2 msmx,8.49,
2031.0,   5/4/2024, 23:42:00.992250,   5/4/2024, 23:42:00.822254,      Primary,2.0,0.0,-1170.0,2420.0,7020.0,0.3,187.75,8.0,7.3,24.1,2.6,1000000.0,     L2 msmx,7.82,
2042.0,   5/4/2024, 23:42:32.296500,   5/4/2024, 23:42:32.176125,      Primary,2.0,0.0,-1470.0,2520.0,7710.0,-0.27,58.32,8.0,4.1,7.3,2.4,1000000.0,     L2 msmx,8.13,
2050.0,   5/4/2024, 23:43:02.368500,   5/4/2024, 23:43:02.120129,      Primary,2.0,0.0,540.0,3210.0,8550.0,0.27,97.35,8.0,15.6,40.8,3.0,1000000.0,     L2 msmx,8.05,
2121.0,   5/4/2024, 23:45:56.611250,   5/4/2024, 23:45:56.430309,      Primary,2.0,0.0,-980.0,2390.0,7140.0,0.33,187.75,8.0,24.0,51.5,3.4,1000000.0,     L2 msmx,14.45,
2122.0,   5/4/2024, 23:46:01.433750,   5/4/2024, 23:46:01.260286,      Primary,2.0,0.0,-1140.0,2420.0,6990.0,0.05,187.75,8.0,6.3,15.6,2.4,1000000.0,     L2 msmx,7.92,
2150.0,   5/4/2024, 23:47:03.562000,   5/4/2024, 23:47:03.382310,      Primary,2.0,0.0,-900.0,2360.0,7180.0,0.35,187.75,8.0,16.8,38.3,3.5,1000000.0,     L2 msmx,13.97,
2165.0,   5/4/2024, 23:47:39.268750,   5/4/2024, 23:47:39.131638,      Primary,2.0,0.0,-410.0,2410.0,6730.0,-0.37,61.28,8.0,5.9,14.6,2.1,1000000.0,     L2 msmx,8.63,
2180.0,   5/4/2024, 23:48:19.294250,   5/4/2024, 23:48:19.107092,      Primary,2.0,0.0,-1050.0,2140.0,7050.0,-0.39,32.92,8.0,5.5,19.7,2.0,1000000.0,     L2 msmx,10.17,
2224.0,   5/4/2024, 23:50:12.161750,   5/4/2024, 23:50:11.976063,      Primary,2.0,0.0,-1050.0,2440.0,7140.0,-0.26,57.27,8.0,6.2,12.0,2.0,1000000.0,     L2 msmx,8.81,
2240.0,   5/4/2024, 23:50:54.562500,   5/4/2024, 23:50:54.338631,      Primary,2.0,0.0,220.0,3210.0,8090.0,0.03,88.83,8.0,5.4,9.6,2.0,1000000.0,     L2 msmx,10.3,
2287.0,   5/4/2024, 23:52:49.168500,   5/4/2024, 23:52:48.985104,      Primary,2.0,0.0,-1030.0,2370.0,7240.0,0.33,187.75,8.0,11.0,27.3,2.7,1000000.0,     L2 msmx,13.89,
2348.0,   5/4/2024, 23:55:22.558500,   5/4/2024, 23:55:22.527483,      Primary,2.0,0.0,-1130.0,2440.0,7000.0,-0.28,79.73,8.0,3.6,6.5,1.4,1000000.0,     L2 msmx,6.77,
2362.0,   5/4/2024, 23:56:00.983750,   5/4/2024, 23:56:00.815885,      Primary,2.0,0.0,-820.0,3150.0,7160.0,0.01,187.75,8.0,11.5,26.7,1.7,1000000.0,     L2 msmx,8.04,
2383.0,   5/4/2024, 23:56:56.351000,   5/4/2024, 23:56:56.172409,      Primary,2.0,0.0,-1290.0,2450.0,7030.0,-0.16,149.43,8.0,5.9,13.8,2.0,1000000.0,     L2 msmx,7.94,
