Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
5523,   6/4/2024, 15:29:10.281500,   6/4/2024, 15:29:10.101799,      Primary,2,0,-2090,2350,7430,-0.04,117.52,9,4.5,14.3,1.7,1000000,     L2 msmx,7.8
5586,   6/4/2024, 15:31:05.300250,   6/4/2024, 15:31:05.217535,      Primary,2,0,-1850,2100,8200,1.85,187.75,9,26.8,57.1,2.1,1000000,     L2 msmx,12.19
5587,   6/4/2024, 15:31:11.920750,   6/4/2024, 15:31:12.043308,      Primary,2,0,-2170,2310,7660,-0.04,122.1,9,3.3,7.3,1.5,1000000,     L2 msmx,9.49
5606,   6/4/2024, 15:31:48.875500,   6/4/2024, 15:31:48.680424,      Primary,2,0,-1510,2400,8150,0,75.06,9,8,19.3,2,1000000,     L2 msmx,7.62
5757,   6/4/2024, 15:36:58.077250,   6/4/2024, 15:36:58.255615,      Primary,2,0,-2110,2290,7720,-0.05,81.8,9,4.9,14,1.5,1000000,     L2 msmx,6.83
6005,   6/4/2024, 15:46:08.501750,   6/4/2024, 15:46:08.629612,      Primary,2,0,-430,2250,6370,0.32,187.75,9,12.2,23.4,3,1000000,     L2 msmx,6.93
6031,   6/4/2024, 15:47:03.698750,   6/4/2024, 15:47:03.533141,      Primary,2,0,-2140,2300,7810,0.66,187.75,9,28.9,42.6,3.3,1000000,     L2 msmx,11.08
6032,   6/4/2024, 15:47:06.356500,   6/4/2024, 15:47:06.495027,      Primary,2,0,-2180,2370,7620,-0.04,160.2,9,4.1,5.4,1.7,1000000,     L2 msmx,16.56
6093,   6/4/2024, 15:48:54.299000,   6/4/2024, 15:48:54.145588,      Primary,2,0,-1270,2480,6420,0.42,187.75,9,22.1,33.1,2.9,1000000,     L2 msmx,8.8
6157,   6/4/2024, 15:50:48.966000,   6/4/2024, 15:50:48.992111,      Primary,2,0,-690,2080,8890,0.03,75.1,9,4,8.1,1.5,1000000,     L2 msmx,7.25
6252,   6/4/2024, 15:53:50.103000,   6/4/2024, 15:53:49.906769,      Primary,2,0,-2200,2340,7720,0.38,187.75,9,13.8,44.6,3.7,1000000,     L2 msmx,8.38
6304,   6/4/2024, 15:55:25.275500,   6/4/2024, 15:55:24.889811,      Primary,2,0,-2060,2230,8000,0.67,187.75,9,35.8,64,2.8,1000000,     L2 msmx,100.6
6312,   6/4/2024, 15:55:42.460000,   6/4/2024, 15:55:42.284283,      Primary,2,0,-1760,2320,7590,-0.16,66.32,9,11,30.2,1.5,1000000,     L2 msmx,6.96
6413,   6/4/2024, 15:59:03.526750,   6/4/2024, 15:59:03.320590,      Primary,2,0,-1670,2300,7560,0.29,187.75,9,8.9,32.3,3.6,1000000,     L2 msmx,11.24
6595,   6/4/2024, 16:06:19.584000,   6/4/2024, 16:06:19.453356,      Primary,2,0,-2200,2410,7150,0.06,144.34,9,5.9,18.2,1.7,1000000,     L2 msmx,7.03
6599,   6/4/2024, 16:06:28.223250,   6/4/2024, 16:06:28.401445,      Primary,2,0,-1460,2460,6510,-0.15,114.72,9,4.4,7,1.8,1000000,     L2 msmx,7.33
6613,   6/4/2024, 16:06:56.694000,   6/4/2024, 16:06:56.552826,      Primary,2,0,-2140,2350,7410,0.28,187.75,9,12.6,47.7,2.6,1000000,     L2 msmx,6.84
6680,   6/4/2024, 16:09:17.152750,   6/4/2024, 16:09:16.994272,      Primary,2,0,-1370,2280,8050,0.31,119.54,9,18.7,46.4,2.8,1000000,     L2 msmx,10.25
6699,   6/4/2024, 16:09:56.579250,   6/4/2024, 16:09:56.428020,      Primary,2,0,-2030,2340,7480,0.04,164.69,9,4.5,11,2,1000000,     L2 msmx,8.83
6718,   6/4/2024, 16:10:34.942500,   6/4/2024, 16:10:34.837772,      Primary,2,0,-960,2460,6560,0.38,187.75,9,12.3,30.3,3.7,1000000,     L2 msmx,8.01
6886,   6/4/2024, 16:16:01.992000,   6/4/2024, 16:16:01.858547,      Primary,2,0,-1800,2240,7780,0.07,109.63,9,8.3,29.7,2.6,1000000,     L2 msmx,7
6980,   6/4/2024, 16:18:53.909000,   6/4/2024, 16:18:53.737038,      Primary,2,0,-2220,2290,7790,0.53,187.75,9,21.4,53,3.5,1000000,     L2 msmx,8.57
6981,   6/4/2024, 16:18:56.911250,   6/4/2024, 16:18:56.734928,      Primary,2,0,-2170,2280,7820,0.39,187.75,9,8,18.5,3.5,1000000,     L2 msmx,13.11
7205,   6/4/2024, 16:25:57.389750,   6/4/2024, 16:25:57.622211,      Primary,2,0,-1930,2360,7220,0.12,187.75,9,4.8,7.8,1.7,1000000,     L2 msmx,6.68
7375,   6/4/2024, 16:31:27.655250,   6/4/2024, 16:31:27.483759,      Primary,2,0,-2030,2180,8030,0.43,187.75,9,7,25.7,2,1000000,     L2 msmx,8.14
7392,   6/4/2024, 16:32:01.446000,   6/4/2024, 16:32:01.542886,      Primary,2,0,-1750,2260,7680,-0.06,119.9,9,4.7,8.2,2.3,1000000,     L2 msmx,8.03
7397,   6/4/2024, 16:32:10.484750,   6/4/2024, 16:32:10.309757,      Primary,2,0,-1470,2310,8010,0.33,187.75,9,6.5,13.4,2.8,1000000,     L2 msmx,30.24
7524,   6/4/2024, 16:37:22.651250,   6/4/2024, 16:37:22.493002,      Primary,2,0,-2100,2430,7000,0.11,187.75,9,5.6,18.1,1.5,1000000,     L2 msmx,7.61
7549,   6/4/2024, 16:38:11.200000,   6/4/2024, 16:38:11.012340,      Primary,2,0,-2110,2310,7670,0.09,187.75,9,6.9,16.8,2.9,1000000,     L2 msmx,8.51
7554,   6/4/2024, 16:38:21.829500,   6/4/2024, 16:38:21.666698,      Primary,2,0,-2170,2390,7160,0.38,187.75,9,6.3,12.3,2.8,1000000,     L2 msmx,9.16
7583,   6/4/2024, 16:39:21.645250,   6/4/2024, 16:39:21.618305,      Primary,2,0,-1760,2240,7790,0.11,129.67,9,5.6,23.5,3,1000000,     L2 msmx,7.47
7584,   6/4/2024, 16:39:23.183750,   6/4/2024, 16:39:22.989592,      Primary,2,0,-1820,2270,7660,0.4,187.75,9,9.3,14.2,2.9,1000000,     L2 msmx,16
