Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
2092,   6/4/2024, 07:50:59.771000,   6/4/2024, 07:50:59.605629,      Primary,2,0,-1020,2410,6890,0.23,187.75,9,9.9,47.3,3.1,1000000,     L2 msmx,9.39,
2096,   6/4/2024, 07:51:06.836000,   6/4/2024, 07:51:06.684938,      Primary,2,0,340,2310,7010,0.91,187.75,9,30.6,59.5,3.7,1000000,     L2 msmx,18.19,
2124,   6/4/2024, 07:52:03.957500,   6/4/2024, 07:52:03.806147,      Primary,2,0,-1150,2500,6410,0.23,187.75,9,10.3,24.2,3.2,1000000,     L2 msmx,10.46,
2160,   6/4/2024, 07:53:21.018750,   6/4/2024, 07:53:20.849066,      Primary,2,0,-320,2370,6570,0.8,187.75,9,30.1,49.4,4.6,1000000,     L2 msmx,21.48,
2165,   6/4/2024, 07:53:33.254500,   6/4/2024, 07:53:33.225323,      Primary,2,0,-1100,2110,8220,-0.12,45.34,9,6.5,8.3,2.3,1000000,     L2 msmx,7.6,
2168,   6/4/2024, 07:53:41.935250,   6/4/2024, 07:53:41.766529,      Primary,2,0,-1610,2450,6920,0.23,187.75,9,8.1,24.6,1.9,1000000,     L2 msmx,7.49,
2209,   6/4/2024, 07:55:16.987500,   6/4/2024, 07:55:16.818850,      Primary,2,0,0,2350,6890,-0.11,46.85,9,9.0,17.3,1.6,1000000,     L2 msmx,8.13,
2259,   6/4/2024, 07:56:53.938750,   6/4/2024, 07:56:53.738785,      Primary,2,0,-1840,2370,7360,-0.04,137.69,9,5.2,9.1,2.5,1000000,     L2 msmx,11.72,
2264,   6/4/2024, 07:57:07.702000,   6/4/2024, 07:57:07.385051,      Primary,2,0,-1940,2340,7450,0.17,187.75,9,4.1,7.8,2.0,1000000,     L2 msmx,21.24,
2384,   6/4/2024, 08:01:29.432250,   6/4/2024, 08:01:29.371117,      Primary,2,0,-1170,2410,8030,0.39,187.75,9,12.6,39.0,3.8,1000000,     L2 msmx,7.66,
2386,   6/4/2024, 08:01:34.867250,   6/4/2024, 08:01:34.673134,      Primary,2,0,-1710,2420,7230,0.36,187.75,9,7.7,17.3,3.6,1000000,     L2 msmx,10.33,
2461,   6/4/2024, 08:04:00.493250,   6/4/2024, 08:04:00.458964,      Primary,2,0,-1450,2470,6730,-0.27,70.11,9,4.1,6.9,1.3,1000000,     L2 msmx,7.82,
2547,   6/4/2024, 08:07:10.670000,   6/4/2024, 08:07:10.504370,      Primary,2,0,-1270,2470,6980,0.07,187.75,9,6.4,12.3,2.0,1000000,     L2 msmx,8.33,
2549,   6/4/2024, 08:07:15.027000,   6/4/2024, 08:07:15.022961,      Primary,2,0,-1870,2340,7430,0.2,187.75,9,5.5,10.5,2.5,1000000,     L2 msmx,6.86,
2600,   6/4/2024, 08:09:04.132500,   6/4/2024, 08:09:03.940313,      Primary,2,0,-1830,2360,7500,-0.03,121.87,9,6.8,12.0,1.6,1000000,     L2 msmx,7.92,
2612,   6/4/2024, 08:09:26.592250,   6/4/2024, 08:09:26.772270,      Primary,2,0,-1610,2260,7640,0.58,187.75,9,11.7,25.9,3.0,1000000,     L2 msmx,7.08,
2613,   6/4/2024, 08:09:28.734500,   6/4/2024, 08:09:28.529894,      Primary,2,0,-1600,2310,7550,0.27,187.75,9,3.6,8.8,3.4,1000000,     L2 msmx,18.68,
2717,   6/4/2024, 08:13:03.842750,   6/4/2024, 08:13:03.633205,      Primary,2,0,-800,2230,7630,-0.04,69.97,9,9.5,21.5,2.7,1000000,     L2 msmx,12.24,
2760,   6/4/2024, 08:14:34.162500,   6/4/2024, 08:14:33.962673,      Primary,2,0,-1880,2320,7360,0.25,187.75,9,8.2,14.0,3.1,1000000,     L2 msmx,10.91,
2796,   6/4/2024, 08:15:54.181750,   6/4/2024, 08:15:54.023174,      Primary,2,0,-140,2240,6990,-0.12,110.92,9,5.8,12.3,1.5,1000000,     L2 msmx,8.3,
2911,   6/4/2024, 08:19:49.641250,   6/4/2024, 08:19:49.444790,      Primary,2,0,-1820,2360,7370,-0.08,74.69,9,3.9,8.0,2.2,1000000,     L2 msmx,9.82,
2937,   6/4/2024, 08:20:44.323750,   6/4/2024, 08:20:44.159214,      Primary,2,0,-1600,2420,6900,0.39,187.75,9,30.9,51.1,2.7,1000000,     L2 msmx,8.06,
3022,   6/4/2024, 08:23:46.101250,   6/4/2024, 08:23:45.981030,      Primary,2,0,-1330,2420,6760,0.08,187.75,9,6.2,14.5,2.6,1000000,     L2 msmx,10.76,
3023,   6/4/2024, 08:23:51.033000,   6/4/2024, 08:23:50.822193,      Primary,2,0,-1790,2370,7480,-0.07,91.24,9,4.8,8.0,1.8,1000000,     L2 msmx,8.44,
3033,   6/4/2024, 08:24:09.549750,   6/4/2024, 08:24:09.410893,      Primary,2,0,-1780,2360,7500,-0.05,104.27,9,6.0,13.3,2.0,1000000,     L2 msmx,7.57,
3052,   6/4/2024, 08:24:59.827500,   6/4/2024, 08:24:59.672104,      Primary,2,0,-1650,2410,6730,0.07,187.75,9,9.8,19.7,1.6,1000000,     L2 msmx,7.56,
3100,   6/4/2024, 08:26:37.102500,   6/4/2024, 08:26:36.880325,      Primary,2,0,-800,2120,8360,-0.2,28.54,9,6.3,8.7,2.6,1000000,     L2 msmx,9.08,
3151,   6/4/2024, 08:28:12.011500,   6/4/2024, 08:28:12.064172,      Primary,2,0,-1950,2330,7590,0.05,126.05,9,5.1,13.8,1.7,1000000,     L2 msmx,7.09,
3192,   6/4/2024, 08:29:35.789750,   6/4/2024, 08:29:35.593426,      Primary,2,0,60,2200,8610,0.12,156.53,9,5.3,15.4,1.9,1000000,     L2 msmx,7.62,
3371,   6/4/2024, 08:35:32.957250,   6/4/2024, 08:35:32.812447,      Primary,2,0,-1720,2230,7830,-0.14,99.36,9,5.9,12.7,2.1,1000000,     L2 msmx,7.34,
3402,   6/4/2024, 08:36:35.511000,   6/4/2024, 08:36:35.372742,      Primary,2,0,-1300,2120,8160,0.24,105.1,9,12.2,23.0,2.8,1000000,     L2 msmx,9.52,
3716,   6/4/2024, 08:47:24.588000,   6/4/2024, 08:47:24.433954,      Primary,2,0,-940,2470,6550,0.57,187.75,9,15.4,23.5,4.5,1000000,     L2 msmx,10.84,
3760,   6/4/2024, 08:48:55.320000,   6/4/2024, 08:48:55.173649,      Primary,2,0,-1180,2450,6440,0.14,187.75,9,9.4,16.5,3.3,1000000,     L2 msmx,7.68,
3761,   6/4/2024, 08:48:58.244250,   6/4/2024, 08:48:58.314590,      Primary,2,0,-1800,2320,7420,0.01,131.87,9,4.2,6.6,1.8,1000000,     L2 msmx,7.71,
3800,   6/4/2024, 08:50:33.688000,   6/4/2024, 08:50:33.842087,      Primary,2,0,100,2440,6620,1.3,187.75,9,22.5,61.9,5.7,1000000,     L2 msmx,9.76,
3886,   6/4/2024, 08:53:56.725500,   6/4/2024, 08:53:56.579952,      Primary,2,0,-1070,2470,6370,0.14,187.75,9,8.5,17.1,2.7,1000000,     L2 msmx,8.72,
3987,   6/4/2024, 08:57:26.959000,   6/4/2024, 08:57:26.825184,      Primary,2,0,-1150,2520,6390,0.18,187.75,9,8.6,21.8,3.3,1000000,     L2 msmx,8.79,
4022,   6/4/2024, 08:58:44.485500,   6/4/2024, 08:58:44.528934,      Primary,2,0,-1630,2520,6830,0.19,187.75,9,5.7,10.8,2.2,1000000,     L2 msmx,7.06,
4035,   6/4/2024, 08:59:11.073750,   6/4/2024, 08:59:10.876473,      Primary,2,0,-1850,2320,7510,0.26,187.75,9,8.7,27.4,2.2,1000000,     L2 msmx,7.43,
4102,   6/4/2024, 09:01:31.575750,   6/4/2024, 09:01:31.465466,      Primary,2,0,-1350,2390,6810,-0.08,109.45,9,6.0,10.4,1.8,1000000,     L2 msmx,7.41,
4151,   6/4/2024, 09:03:21.693000,   6/4/2024, 09:03:21.477766,      Primary,2,0,-800,2210,7630,-0.25,34.74,9,5.5,10.7,2.2,1000000,     L2 msmx,10.19,
4169,   6/4/2024, 09:04:08.183750,   6/4/2024, 09:04:08.031042,      Primary,2,0,-1030,2480,6570,0.92,187.75,9,50.9,58.3,4.4,1000000,     L2 msmx,13.23,
4194,   6/4/2024, 09:05:06.077500,   6/4/2024, 09:05:06.182483,      Primary,2,0,-800,2120,8410,0.07,91.24,9,4.0,6.6,2.1,1000000,     L2 msmx,9.12,
4206,   6/4/2024, 09:05:34.551750,   6/4/2024, 09:05:34.337437,      Primary,2,0,-1470,2200,7950,-0.18,44.18,9,4.0,7.3,1.6,1000000,     L2 msmx,10.35,
4216,   6/4/2024, 09:05:59.515500,   6/4/2024, 09:05:59.414059,      Primary,2,0,-1650,2320,7490,0.37,187.75,9,13.1,30.4,4.3,1000000,     L2 msmx,7.39,
4255,   6/4/2024, 09:07:24.739500,   6/4/2024, 09:07:24.384031,      Primary,2,0,-1870,2330,7720,0.58,187.75,9,28.6,39.5,2.7,1000000,     L2 msmx,105.7,
4259,   6/4/2024, 09:07:34.903250,   6/4/2024, 09:07:34.548141,      Primary,2,0,-1710,2210,7850,0.56,187.75,9,14.5,26.0,3.5,1000000,     L2 msmx,110.12,
4303,   6/4/2024, 09:09:19.530000,   6/4/2024, 09:09:19.227854,      Primary,2,0,-1980,2450,7090,-0.18,96.11,9,4.0,5.5,1.6,1000000,     L2 msmx,22.3,
4321,   6/4/2024, 09:09:59.765250,   6/4/2024, 09:09:59.812542,      Primary,2,0,-1870,2300,7610,0.27,187.75,9,10.2,26.9,2.4,1000000,     L2 msmx,6.81,
4412,   6/4/2024, 09:13:05.553750,   6/4/2024, 09:13:05.527310,      Primary,2,0,-990,2430,6850,-0.03,187.75,9,7.1,17.2,2.1,1000000,     L2 msmx,7.18,
4422,   6/4/2024, 09:13:22.080250,   6/4/2024, 09:13:21.916636,      Primary,2,0,-1360,2420,6780,0.06,161.48,9,5.8,10.1,2.4,1000000,     L2 msmx,9.39,
4499,   6/4/2024, 09:16:25.322500,   6/4/2024, 09:16:25.135311,      Primary,2,0,-1710,2380,7190,0.02,133.38,9,6.8,24.5,3.0,1000000,     L2 msmx,7.38,
4500,   6/4/2024, 09:16:26.538000,   6/4/2024, 09:16:26.380175,      Primary,2,0,-1620,2440,6660,0.15,187.75,9,5.0,8.2,1.8,1000000,     L2 msmx,12.5,
4506,   6/4/2024, 09:16:39.840250,   6/4/2024, 09:16:39.699154,      Primary,2,0,-1490,2230,7800,0.08,118.66,9,5.8,39.9,2.2,1000000,     L2 msmx,8.58,
4561,   6/4/2024, 09:18:53.949250,   6/4/2024, 09:18:53.881645,      Primary,2,0,-620,2380,6430,0.48,187.75,9,31.5,36.0,2.9,1000000,     L2 msmx,7.06,
4666,   6/4/2024, 09:22:41.207500,   6/4/2024, 09:22:41.195774,      Primary,2,0,-1750,2270,7600,0.36,187.75,9,6.0,50.6,2.4,1000000,     L2 msmx,6.97,
4691,   6/4/2024, 09:23:27.192000,   6/4/2024, 09:23:27.086384,      Primary,2,0,-1840,2320,7560,-0.01,93.49,9,4.8,8.6,2.1,1000000,     L2 msmx,7.17,
4825,   6/4/2024, 09:27:52.167750,   6/4/2024, 09:27:51.975914,      Primary,2,0,-1940,2370,7400,0.28,187.75,9,11.3,24.4,3.1,1000000,     L2 msmx,8.97,
4919,   6/4/2024, 09:31:19.998250,   6/4/2024, 09:31:19.834467,      Primary,2,0,10,2300,7030,0.08,119.4,9,8.0,20.1,1.9,1000000,     L2 msmx,8.25,
4929,   6/4/2024, 09:31:42.987750,   6/4/2024, 09:31:43.163666,      Primary,2,0,-1590,2510,6400,-0.09,187.11,9,7.0,20.7,3.3,1000000,     L2 msmx,6.92,
4937,   6/4/2024, 09:31:58.261750,   6/4/2024, 09:31:58.047436,      Primary,2,0,-1440,2230,7840,0.25,133.2,9,23.1,29.6,4.7,1000000,     L2 msmx,11.5,
5038,   6/4/2024, 09:36:04.041250,   6/4/2024, 09:36:04.259428,      Primary,2,0,-2000,2290,7710,0.15,187.38,9,5.4,7.9,2.2,1000000,     L2 msmx,7.1,
5110,   6/4/2024, 09:38:20.565000,   6/4/2024, 09:38:20.412336,      Primary,2,0,-1630,2420,6650,0.51,187.75,9,8.8,15.2,2.6,1000000,     L2 msmx,10.64,
5165,   6/4/2024, 09:40:29.823500,   6/4/2024, 09:40:29.612886,      Primary,2,0,-1610,2130,7980,-0.09,90.02,9,12.1,23.1,3.6,1000000,     L2 msmx,10.91,
5170,   6/4/2024, 09:40:38.472500,   6/4/2024, 09:40:38.317448,      Primary,2,0,-1660,2450,6590,-0.09,156.76,9,4.8,9.0,1.6,1000000,     L2 msmx,7.6,
5171,   6/4/2024, 09:40:39.444500,   6/4/2024, 09:40:39.291527,      Primary,2,0,-1650,2500,6490,0.08,187.75,9,5.7,12.3,1.9,1000000,     L2 msmx,11.56,
5173,   6/4/2024, 09:40:44.410000,   6/4/2024, 09:40:44.391731,      Primary,2,0,-1140,2490,6730,0.21,187.75,9,6.9,14.8,3.2,1000000,     L2 msmx,7.17,
5243,   6/4/2024, 09:43:05.174000,   6/4/2024, 09:43:05.308528,      Primary,2,0,-1360,2420,6760,-0.14,106.97,9,7.1,14.9,1.9,1000000,     L2 msmx,6.84,
