COMPANY 		: Utah Forge
FIELD   		: Beaver (University of Utah)
SITE    		: Utah Forge
WELL   		: 16B(78)-32
WELLPATH		: 16B(78)-32
DESIGN			: 16B(78)-32 Final Surveys
MAP SYSTEM		: Universal Transverse Mercator (US Survey Feet)
GEODIC DATUM		: NAD83 Utah - HARN
MAP ZONE		: Zone 12N (114 W to 108 W)
CALCULATION METHOD	: Minimum Curvature
WELL EASTING 		: 1097907.09ft 
WELL NORTHING 		: 13987765.96ft 
VSECT DIREC 		: 106.85deg 
NORTH REF		: Grid
KB ELEV  		: 5447.65ft 
GL ELEV 		: 5415.65ft 
DATE			: 6/26/2023

SURVEY 

MD         INC       AZI       TVD        SSTVD        N/S       NORTHING       E/W        EASTING       VSEC        DLS            
(ft)      (deg)     (deg)      (ft)       (ft)         (ft)       (Ft)          (ft)        (Ft)         (ft)     (deg/100ft)  


3525.00    0.97     104.22    3524.46     -1923.19    -9.23     13987756.73    16.42     1097923.50      18.39      1.63   
3550.00    0.70     87.67     3549.46     -1898.19    -9.28     13987756.68    16.77     1097923.86      18.74      1.44   
3575.00    0.86     82.09     3574.46     -1873.19    -9.25     13987756.72    17.11     1097924.20      19.06      0.71   
3600.00    0.75     95.48     3599.46     -1848.19    -9.24     13987756.73    17.46     1097924.55      19.39      0.87   
3625.00    0.50     124.27    3624.45     -1823.20    -9.31     13987756.65    17.71     1097924.80      19.65      1.58   
3650.00    0.80     109.58    3649.45     -1798.20    -9.43     13987756.53    17.97     1097925.06      19.93      1.36   
3675.00    0.67     114.35    3674.45     -1773.20    -9.55     13987756.41    18.27     1097925.35      20.25      0.57   
3700.00    0.74     97.06     3699.45     -1748.20    -9.63     13987756.33    18.56     1097925.65      20.56      0.89   
3725.00    0.74     101.53    3724.45     -1723.20    -9.68     13987756.28    18.88     1097925.96      20.88      0.23   
3750.00    0.63     78.68     3749.44     -1698.21    -9.69     13987756.27    19.17     1097926.26      21.16      1.17   
3775.00    0.55     107.07    3774.44     -1673.21    -9.70     13987756.26    19.42     1097926.51      21.40      1.20   
3800.00    0.59     86.48     3799.44     -1648.21    -9.72     13987756.24    19.66     1097926.75      21.64      0.83   
3825.00    0.84     100.27    3824.44     -1623.21    -9.75     13987756.21    19.97     1097927.06      21.94      1.21   
3850.00    0.57     108.99    3849.44     -1598.21    -9.82     13987756.14    20.27     1097927.36      22.25      1.16   
3875.00    0.77     92.88     3874.44     -1573.21    -9.87     13987756.09    20.56     1097927.64      22.54      1.09   
3900.00    0.80     104.43    3899.43     -1548.22    -9.92     13987756.04    20.89     1097927.98      22.87      0.64   
3925.00    1.07     95.63     3924.43     -1523.22    -9.99     13987755.97    21.29     1097928.38      23.28      1.22   
3950.00    0.80     93.60     3949.43     -1498.22    -10.02    13987755.94    21.70     1097928.79      23.67      1.09   
3975.00    0.79     89.00     3974.42     -1473.23    -10.03    13987755.93    22.05     1097929.13      24.01      0.26   
4000.00    1.13     96.30     3999.42     -1448.23    -10.06    13987755.91    22.46     1097929.55      24.42      1.44   
4025.00    0.68     93.00     4024.42     -1423.23    -10.09    13987755.87    22.86     1097929.94      24.80      1.81   
4050.00    0.75     118.09    4049.42     -1398.23    -10.18    13987755.79    23.15     1097930.24      25.11      1.27   
4075.00    0.89     111.94    4074.41     -1373.24    -10.32    13987755.64    23.47     1097930.56      25.46      0.66   
4100.00    0.42     119.05    4099.41     -1348.24    -10.44    13987755.52    23.74     1097930.82      25.74      1.90   
4125.00    0.46     106.27    4124.41     -1323.24    -10.51    13987755.45    23.91     1097931.00      25.93      0.42   
4150.00    0.82     100.72    4149.41     -1298.24    -10.58    13987755.39    24.18     1097931.27      26.21      1.46   
4175.00    0.43     81.17     4174.41     -1273.24    -10.59    13987755.37    24.45     1097931.54      26.47      1.76   
4200.00    0.45     112.30    4199.41     -1248.24    -10.62    13987755.34    24.64     1097931.72      26.66      0.95   
4225.00    0.43     110.11    4224.41     -1223.24    -10.69    13987755.27    24.81     1097931.90      26.85      0.10   
4250.00    0.63     103.96    4249.41     -1198.24    -10.75    13987755.21    25.04     1097932.12      27.08      0.83   
4275.00    0.80     127.54    4274.40     -1173.25    -10.89    13987755.07    25.31     1097932.39      27.38      1.34   
4300.00    0.48     98.21     4299.40     -1148.25    -11.01    13987754.95    25.55     1097932.64      27.65      1.79   
4325.00    0.61     124.90    4324.40     -1123.25    -11.10    13987754.86    25.76     1097932.85      27.88      1.13   
4350.00    0.68     92.28     4349.40     -1098.25    -11.19    13987754.78    26.02     1097933.11      28.15      1.47   
4375.00    0.69     119.99    4374.40     -1073.25    -11.27    13987754.69    26.30     1097933.38      28.44      1.31   
4400.00    0.61     73.25     4399.40     -1048.25    -11.30    13987754.66    26.56     1097933.64      28.69      2.08   
4425.00    0.56     93.68     4424.40     -1023.25    -11.27    13987754.69    26.81     1097933.89      28.92      0.85   
4450.00    0.77     69.92     4449.39     -998.26     -11.22    13987754.74    27.09     1097934.17      29.18      1.37   
4475.00    1.11     81.57     4474.39     -973.26     -11.13    13987754.83    27.48     1097934.57      29.53      1.55   
4500.00    0.70     92.27     4499.39     -948.26     -11.10    13987754.86    27.87     1097934.96      29.90      1.77   
4525.00    0.95     69.37     4524.38     -923.27     -11.03    13987754.93    28.22     1097935.31      30.21      1.64   
4550.00    0.70     96.10     4549.38     -898.27     -10.98    13987754.98    28.57     1097935.65      30.52      1.81   
4575.00    1.07     104.17    4574.38     -873.27     -11.05    13987754.91    28.95     1097936.03      30.91      1.56   
4600.00    1.20     92.90     4599.37     -848.28     -11.12    13987754.84    29.43     1097936.52      31.39      1.03   
4625.00    0.98     88.69     4624.37     -823.28     -11.13    13987754.83    29.91     1097936.99      31.85      0.94   
4650.00    1.10     102.12    4649.37     -798.28     -11.18    13987754.79    30.36     1097937.44      32.29      1.08   
4675.00    1.22     115.26    4674.36     -773.29     -11.34    13987754.62    30.83     1097937.92      32.80      1.16   
4700.00    1.49     118.69    4699.35     -748.30     -11.61    13987754.35    31.36     1097938.44      33.38      1.13   
4725.00    1.85     122.18    4724.34     -723.31     -11.98    13987753.98    31.98     1097939.07      34.08      1.50   
4750.00    2.17     121.80    4749.33     -698.32     -12.44    13987753.52    32.73     1097939.81      34.93      1.28   
4775.00    2.44     123.54    4774.31     -673.34     -12.99    13987752.97    33.57     1097940.66      35.90      1.12   
4800.00    2.50     124.15    4799.28     -648.37     -13.59    13987752.37    34.47     1097941.56      36.93      0.26   
4825.00    2.62     125.62    4824.26     -623.39     -14.23    13987751.73    35.38     1097942.47      37.99      0.55   
4850.00    2.53     133.12    4849.23     -598.42     -14.94    13987751.02    36.25     1097943.34      39.03      1.39   
4875.00    2.88     126.33    4874.21     -573.44     -15.69    13987750.28    37.16     1097944.25      40.11      1.90   
4900.00    2.27     133.86    4899.18     -548.47     -16.40    13987749.56    38.02     1097945.11      41.15      2.79   
4925.00    1.87     158.06    4924.16     -523.49     -17.12    13987748.84    38.53     1097945.62      41.84      3.81   
4950.00    1.96     148.14    4949.15     -498.50     -17.86    13987748.10    38.91     1097946.00      42.42      1.37   
4975.00    1.61     152.88    4974.14     -473.51     -18.54    13987747.42    39.30     1097946.38      42.98      1.52   
5000.00    1.74     163.36    4999.13     -448.52     -19.22    13987746.75    39.57     1097946.65      43.44      1.33   
5025.00    0.86     165.60    5024.12     -423.53     -19.76    13987746.20    39.72     1097946.81      43.74      3.53   
5050.00    0.90     154.12    5049.12     -398.53     -20.12    13987745.84    39.85     1097946.94      43.97      0.72   
5075.00    1.00     174.59    5074.11     -373.54     -20.51    13987745.45    39.96     1097947.05      44.19      1.41   
5100.00    0.75     166.03    5099.11     -348.54     -20.89    13987745.07    40.02     1097947.11      44.36      1.13   
5125.00    0.71     143.03    5124.11     -323.54     -21.17    13987744.79    40.15     1097947.24      44.57      1.17   
5150.00    0.71     138.33    5149.11     -298.54     -21.41    13987744.55    40.35     1097947.43      44.82      0.23   
5175.00    1.17     131.70    5174.10     -273.55     -21.70    13987744.26    40.64     1097947.73      45.19      1.89   
5200.00    1.63     128.59    5199.10     -248.55     -22.09    13987743.87    41.11     1097948.20      45.75      1.86   
5225.00    1.63     130.30    5224.09     -223.56     -22.54    13987743.42    41.66     1097948.75      46.40      0.19   
5250.00    1.64     134.48    5249.08     -198.57     -23.02    13987742.94    42.19     1097949.27      47.05      0.48   
5275.00    2.18     141.42    5274.06     -173.59     -23.64    13987742.32    42.74     1097949.82      47.76      2.35   
5300.00    2.05     146.12    5299.05     -148.60     -24.39    13987741.58    43.28     1097950.37      48.49      0.87   
5325.00    1.61     158.24    5324.03     -123.62     -25.08    13987740.88    43.66     1097950.75      49.06      2.33   
5350.00    1.29     175.24    5349.03     -98.62      -25.69    13987740.27    43.82     1097950.90      49.38      2.13   
5375.00    0.96     199.55    5374.02     -73.63      -26.17    13987739.79    43.77     1097950.86      49.48      2.29   
5400.00    1.10     231.33    5399.02     -48.63      -26.52    13987739.45    43.51     1097950.60      49.33      2.32   
5425.00    1.39     228.65    5424.01     -23.64      -26.87    13987739.10    43.10     1097950.18      49.03      1.18   
5450.00    1.21     228.97    5449.00     1.35        -27.24    13987738.72    42.67     1097949.76      48.73      0.72   
5475.00    0.58     243.49    5474.00     26.35       -27.47    13987738.49    42.36     1097949.44      48.50      2.66   
5500.00    0.43     165.75    5499.00     51.35       -27.62    13987738.35    42.27     1097949.35      48.46      2.58   
5525.00    1.50     134.22    5524.00     76.35       -27.94    13987738.03    42.53     1097949.61      48.80      4.62   
5550.00    2.96     126.35    5548.98     101.33      -28.55    13987737.42    43.28     1097950.37      49.70      5.95   
5575.00    4.84     121.77    5573.92     126.27      -29.48    13987736.48    44.70     1097951.78      51.32      7.62   
5600.00    6.56     122.66    5598.79     151.14      -30.81    13987735.15    46.80     1097953.88      53.72      6.89   
5625.00    7.83     125.08    5623.60     175.95      -32.56    13987733.40    49.39     1097956.48      56.71      5.22   
5650.00    9.35     127.99    5648.32     200.67      -34.79    13987731.17    52.39     1097959.47      60.22      6.32   
5675.00    11.11    130.02    5672.92     225.27      -37.59    13987728.37    55.83     1097962.92      64.33      7.19   
5700.00    12.62    132.49    5697.38     249.73      -40.98    13987724.98    59.69     1097966.78      69.01      6.37   
5725.00    13.02    132.67    5721.76     274.11      -44.74    13987721.23    63.77     1097970.86      74.00      1.61   
