MD,INC,AZI,TVD,SSTVD,N/S,NORTHING,E/W,EASTING,VSEC,DLS
3825,0.84,100.27,3824.44,1623.21,-9.75,13987756.21,19.97,1097927.06,21.94,1.21
3850,0.57,108.99,3849.44,1598.21,-9.82,13987756.14,20.27,1097927.36,22.25,1.16
3875,0.77,92.88,3874.44,1573.21,-9.87,13987756.09,20.56,1097927.64,22.54,1.09
3900,0.8,104.43,3899.43,1548.22,-9.92,13987756.04,20.89,1097927.98,22.87,0.64
3925,1.07,95.63,3924.43,1523.22,-9.99,13987755.97,21.29,1097928.38,23.28,1.22
3950,0.8,93.6,3949.43,1498.22,-10.02,13987755.94,21.7,1097928.79,23.67,1.09
3975,0.79,89,3974.42,1473.23,-10.03,13987755.93,22.05,1097929.13,24.01,0.26
4000,1.13,96.3,3999.42,1448.23,-10.06,13987755.91,22.46,1097929.55,24.42,1.44
4025,0.68,93,4024.42,1423.23,-10.09,13987755.87,22.86,1097929.94,24.8,1.81
4050,0.75,118.09,4049.42,1398.23,-10.18,13987755.79,23.15,1097930.24,25.11,1.27
4075,0.89,111.94,4074.41,1373.24,-10.32,13987755.64,23.47,1097930.56,25.46,0.66
4100,0.42,119.05,4099.41,1348.24,-10.44,13987755.52,23.74,1097930.82,25.74,1.9
4125,0.46,106.27,4124.41,1323.24,-10.51,13987755.45,23.91,1097931,25.93,0.42
4150,0.82,100.72,4149.41,1298.24,-10.58,13987755.39,24.18,1097931.27,26.21,1.46
4175,0.43,81.17,4174.41,1273.24,-10.59,13987755.37,24.45,1097931.54,26.47,1.76
4200,0.45,112.3,4199.41,1248.24,-10.62,13987755.34,24.64,1097931.72,26.66,0.95
4225,0.43,110.11,4224.41,1223.24,-10.69,13987755.27,24.81,1097931.9,26.85,0.1
4250,0.63,103.96,4249.41,1198.24,-10.75,13987755.21,25.04,1097932.12,27.08,0.83
4275,0.8,127.54,4274.4,1173.25,-10.89,13987755.07,25.31,1097932.39,27.38,1.34
4300,0.48,98.21,4299.4,1148.25,-11.01,13987754.95,25.55,1097932.64,27.65,1.79
4325,0.61,124.9,4324.4,1123.25,-11.1,13987754.86,25.76,1097932.85,27.88,1.13
