Measured depth,Incl,Azimuth,Course length,TVD,Vertica sectionl,NS,EW,Total displ,At Azim,DLS
7687,60.25,108.65,10,7176.8,1086.79,-268.23,1053.25,1086.87,104.29,9.47
7697,60.16,108.88,10,7181.77,1095.45,-271.02,1061.47,1095.52,104.32,2.19
7707,59.67,109.11,10,7186.78,1104.08,-273.84,1069.65,1104.15,104.36,5.29
7717,58.31,109.2,10,7191.93,1112.63,-276.65,1077.75,1112.69,104.4,13.62
7727,59.08,109.31,10,7197.13,1121.15,-279.47,1085.81,1121.2,104.43,7.76
7737,57.74,109.39,10,7202.36,1129.64,-282.29,1093.85,1129.69,104.47,13.42
7747,57.54,109.51,10,7207.72,1138.06,-285.1,1101.82,1138.1,104.51,2.24
7757,56.93,109.63,10,7213.13,1146.44,-287.92,1109.74,1146.48,104.54,6.18
7767,57.3,109.74,10,7218.56,1154.81,-290.75,1117.65,1154.84,104.58,3.81
7777,56.69,109.9,10,7224.01,1163.17,-293.59,1125.54,1163.2,104.62,6.25
7787,56.55,110.04,10,7229.51,1171.49,-296.44,1133.38,1171.51,104.66,1.82
7797,56.88,110.15,10,7235,1179.82,-299.32,1141.23,1179.83,104.7,3.43
7807,56.27,110.21,10,7240.5,1188.13,-302.2,1149.07,1188.14,104.73,6.12
7817,56.84,110.22,10,7246.02,1196.44,-305.08,1156.9,1196.45,104.77,5.7
7827,55.56,110.23,10,7251.58,1204.71,-307.95,1164.7,1204.72,104.81,12.8
7837,56.05,110.26,10,7257.2,1212.95,-310.81,1172.46,1212.95,104.85,4.91
7847,55.7,110.17,10,7262.81,1221.19,-313.67,1180.22,1221.2,104.88,3.58
7857,55.44,110.13,10,7268.46,1229.41,-316.52,1187.97,1229.41,104.92,2.62
7867,56.5,110.1,10,7274.06,1237.66,-319.37,1195.75,1237.66,104.95,10.6
7877,56.72,110,10,7279.56,1245.98,-322.23,1203.59,1245.98,104.99,2.35
7887,56.33,109.9,10,7285.08,1254.29,-325.07,1211.43,1254.29,105.02,3.99
7897,57.31,109.81,10,7290.55,1262.63,-327.92,1219.3,1262.63,105.05,9.83
7907,57.39,109.66,10,7295.95,1271.02,-330.76,1227.23,1271.02,105.08,1.5
7917,57.7,109.57,10,7301.31,1279.43,-333.59,1235.18,1279.43,105.11,3.19
7927,57.09,109.46,10,7306.7,1287.83,-336.41,1243.12,1287.83,105.14,6.17
7937,57.82,109.45,10,7312.08,1296.23,-339.21,1251.07,1296.24,105.17,7.3
7947,57.78,109.45,10,7317.41,1304.67,-342.03,1259.05,1304.68,105.2,0.4
7957,58.69,109.48,10,7322.67,1313.15,-344.87,1267.06,1313.16,105.23,9.1
7967,58.35,109.52,10,7327.89,1321.65,-347.71,1275.1,1321.66,105.25,3.42
7977,58.05,109.53,10,7333.16,1330.12,-350.55,1283.11,1330.14,105.28,3
7987,59.55,109.52,10,7338.34,1338.65,-353.41,1291.17,1338.67,105.31,15
7997,59.63,109.46,10,7343.41,1347.24,-356.29,1299.3,1347.27,105.33,0.95
8007,60.18,109.46,10,7348.42,1355.87,-359.17,1307.46,1355.9,105.36,5.5
8017,59.61,109.42,10,7353.44,1364.5,-362.05,1315.62,1364.53,105.39,5.71
8027,60.79,109.42,10,7358.41,1373.15,-364.94,1323.8,1373.18,105.41,11.8
8037,61.73,109.39,10,7363.21,1381.89,-367.85,1332.07,1381.93,105.44,9.4
8047,61.68,109.34,10,7367.95,1390.67,-370.77,1340.38,1390.71,105.46,0.67
8057,62.77,109.37,10,7372.61,1399.49,-373.7,1348.73,1399.54,105.49,10.9
8067,63.65,109.37,10,7377.12,1408.39,-376.66,1357.15,1408.45,105.51,8.8
8077,63.47,109.39,10,7381.57,1417.32,-379.63,1365.59,1417.38,105.54,1.81
8087,63.23,109.44,10,7386.06,1426.23,-382.6,1374.02,1426.3,105.56,2.44
8097,64.29,109.57,10,7390.48,1435.17,-385.6,1382.48,1435.25,105.58,10.66
8107,64.56,109.61,10,7394.8,1444.16,-388.62,1390.98,1444.25,105.61,2.72
8117,64.96,109.64,10,7399.06,1453.18,-391.66,1399.5,1453.27,105.63,4.01
8127,64.51,109.72,10,7403.33,1462.19,-394.71,1408.01,1462.29,105.66,4.56
8137,65.4,109.88,10,7407.56,1471.22,-397.77,1416.54,1471.33,105.69,9.02
8147,65.45,109.94,10,7411.72,1480.28,-400.87,1425.09,1480.4,105.71,0.74
8157,65.39,110.02,10,7415.88,1489.34,-403.98,1433.63,1489.46,105.74,0.94
8167,64.46,110.12,10,7420.12,1498.36,-407.09,1442.14,1498.5,105.76,9.34
8177,64.5,110.2,10,7424.43,1507.35,-410.2,1450.61,1507.49,105.79,0.83
8187,65.25,110.26,10,7428.67,1516.37,-413.33,1459.11,1516.52,105.82,7.52
8197,64.59,110.36,10,7432.91,1525.38,-416.47,1467.6,1525.55,105.84,6.66
8207,65.19,110.44,10,7437.16,1534.4,-419.63,1476.09,1534.58,105.87,6.04
8217,64.26,110.51,10,7441.43,1543.4,-422.79,1484.56,1543.59,105.9,9.32
8227,65.61,110.53,10,7445.66,1552.42,-425.97,1493.04,1552.62,105.92,13.5
8237,65.27,110.45,10,7449.82,1561.47,-429.15,1501.56,1561.69,105.95,3.48
8247,65.35,110.31,10,7454,1570.52,-432.31,1510.08,1570.74,105.98,1.5
8257,65.99,109.92,10,7458.12,1579.59,-435.45,1518.64,1579.83,106,7.32
8267,66.53,109.62,10,7462.14,1588.71,-438.54,1527.25,1588.97,106.02,6.06
8277,66.37,109.34,10,7466.14,1597.85,-441.6,1535.89,1598.12,106.04,3.02
8287,66.65,109.26,10,7470.12,1607,-444.63,1544.55,1607.27,106.06,2.89
8297,66.08,109.26,10,7474.13,1616.13,-447.65,1553.2,1616.42,106.08,5.7
8307,66.72,109.23,10,7478.14,1625.27,-450.67,1561.85,1625.57,106.1,6.41
8317,66.25,109.27,10,7482.13,1634.42,-453.7,1570.51,1634.73,106.11,4.71
8327,66.07,109.2,10,7486.17,1643.54,-456.71,1579.14,1643.86,106.13,1.91
8337,66.3,109.09,10,7490.2,1652.66,-459.71,1587.78,1652.99,106.15,2.51
8347,66.31,108.82,10,7494.22,1661.8,-462.69,1596.44,1662.14,106.16,2.47
8357,66.11,108.5,10,7498.26,1670.93,-465.61,1605.11,1671.28,106.18,3.55
