MD_m,EASTING,NORTHING,TVD_m
127.63687500000002,1097910.0600492128,13987766.232507382,127.63154025000001
128.65797,1097910.0868496064,13987766.236527441,128.65222681199998
129.679065,1097910.1132850002,13987766.2394525,129.672969
130.70016,1097910.1374053545,13987766.23543244,130.694064
131.721255,1097910.1615257089,13987766.231412383,131.715159
132.74235000000002,1097910.1856460632,13987766.227392323,132.736254
133.76344500000002,1097910.2097664173,13987766.223372264,133.75734900000003
134.78454000000002,1097910.2338867716,13987766.219352206,134.77844400000004
135.80563500000002,1097910.258007126,13987766.215332147,135.79953900000004
136.82673,1097910.2821274803,13987766.211312087,136.820634
137.847825,1097910.3080531496,13987766.201876083,137.84172900000002
138.86892,1097910.3348535434,13987766.189815907,138.86282400000002
139.890015,1097910.361653937,13987766.177755728,139.88391900000002
140.91111,1097910.3884543306,13987766.165695552,140.90501400000002
141.932205,1097910.4152547244,13987766.153635373,141.92610900000003
142.9533,1097910.442055118,13987766.141575197,142.94720400000003
143.97439500000002,1097910.4688555119,13987766.129515018,143.96829900000003
144.99549000000002,1097910.4984838583,13987766.116606455,144.98939400000003
146.01658500000002,1097910.538684449,13987766.10052622,146.01048900000004
147.03768000000002,1097910.5788850393,13987766.084445983,147.03158400000004
148.05877500000003,1097910.61908563,13987766.068365747,148.05267900000004
149.07987,1097910.6592862206,13987766.052285511,149.07377400000001
150.100965,1097910.699486811,13987766.036205275,150.09486900000002
151.12206,1097910.7396874016,13987766.020125039,151.11596400000002
152.143155,1097910.7798879922,13987766.004044803,152.13705900000002
153.16425,1097910.831121063,13987765.993982283,153.15815400000002
154.185345,1097910.88606187,13987765.985942164,154.17924900000003
155.20644000000001,1097910.9410026772,13987765.977902047,155.20034400000003
156.22753500000002,1097910.9959434844,13987765.969861928,156.22143900000003
157.24863000000002,1097911.0508842913,13987765.961821811,157.24253400000003
158.26972500000002,1097911.1058250985,13987765.953781692,158.26362900000004
159.29082000000002,1097911.1607659054,13987765.945741575,159.28472400000004
160.31191500000003,1097911.2180052558,13987765.941915452,160.30570223400005
161.33301,1097911.280986181,13987765.948615551,161.326388796
162.354105,1097911.3439671062,13987765.95531565,162.347075358
163.3752,1097911.4069480314,13987765.962015748,163.36776192000002
164.396295,1097911.4699289566,13987765.968715847,164.38844848200003
165.41739,1097911.5329098818,13987765.975415945,165.409135044
166.43848500000001,1097911.595890807,13987765.982116044,166.42982160600002
167.45958000000002,1097911.6588717322,13987765.988816142,167.45050816800003
168.48067500000002,1097911.7174396652,13987766.00213573,168.47153100000003
169.50177000000002,1097911.775060512,13987766.016875945,169.49262600000003
170.52286500000002,1097911.8326813583,13987766.03161616,170.51372100000003
171.54396000000003,1097911.8903022048,13987766.046356378,171.53481600000003
172.565055,1097911.9479230512,13987766.061096594,172.555911
173.58615,1097912.0055438976,13987766.075836811,173.577006
174.607245,1097912.063164744,13987766.090577027,174.598101
175.62834,1097912.1178852757,13987766.105317244,175.61919600000002
176.649435,1097912.167466004,13987766.12005746,176.64029100000002
177.67053,1097912.2170467323,13987766.134797677,177.66138600000002
178.69162500000002,1097912.2666274607,13987766.149537893,178.68248100000002
179.71272000000002,1097912.316208189,13987766.16427811,179.70357600000003
180.73381500000002,1097912.3657889173,13987766.179018328,180.72467100000003
