ARC_LENGTH_m,MD_m,EASTING,NORTHING,TVD_m
2862.1292850000004,2231.9206847054847,1098928.4753817902,13987371.893862136,2082.6910213732344
2863.15038,2232.256368492046,1098929.4627199597,13987371.669447826,2082.8230709457057
2864.171475,2232.5920514952495,1098930.4501237397,13987371.445328947,2082.95513053997
2865.19257,2232.927737251505,1098931.4375933197,13987371.221512761,2083.0872105963585
2866.213665,2233.2634274359125,1098932.4251272029,13987370.997995239,2083.2193151593874
2867.2347600000003,2233.5991228836533,1098933.4127231291,13987370.774767224,2083.3514453874595
2868.2558550000003,2233.9348244258254,1098934.4003788368,13987370.551819552,2083.483602424944
2869.2769500000004,2234.2705328935267,1098935.388092063,13987370.32914305,2083.6157874162072
2870.2980450000005,2234.6062491178536,1098936.3758605444,13987370.106728544,2083.748001505618
2871.31914,2234.941973929905,1098937.3636820193,13987369.88456687,2083.8802458375435
2872.340235,2235.277708160778,1098938.3515542243,13987369.662648847,2084.012521556352
2873.36133,2235.61345264157,1098939.3394748971,13987369.440965312,2084.1448298064115
2874.3824250000002,2235.9492082033776,1098940.327441775,13987369.219507089,2084.2771717320884
2875.4035200000003,2236.2849756773007,1098941.3154525955,13987368.998265013,2084.4095484777527
2876.4246150000004,2236.6207558944348,1098942.303505096,13987368.77722991,2084.54196118777
2877.4457100000004,2236.956549685878,1098943.2915970131,13987368.556392606,2084.674411006509
2878.466805,2237.292357882728,1098944.2797260848,13987368.335743936,2084.8068990783377
2879.4879,2237.628181316082,1098945.2678900484,13987368.115274724,2084.9394265476235
2880.508995,2237.964020817039,1098946.2560866412,13987367.894975802,2085.071994558735
2881.53009,2238.299877216694,1098947.2443136,13987367.674837993,2085.2046042560382
2882.5511850000003,2238.635751346147,1098948.2325686633,13987367.45485214,2085.337256783903
2883.5722800000003,2238.971644036493,1098949.220849567,13987367.235009056,2085.4699532866957
2884.5933750000004,2239.307556118832,1098950.2091540496,13987367.01529958,2085.6026949087845
2885.6144700000004,2239.6434884242603,1098951.1974798483,13987366.795714535,2085.7354827945373
2886.635565,2239.9794417838757,1098952.1858247,13987366.576244757,2085.868318088322
2887.65666,2240.315417028582,1098953.1741863417,13987366.356881067,2086.001201934475
2888.677755,2240.651414766972,1098954.162562622,13987366.137614679,2086.1341354413685
2889.69885,2240.987434957439,1098955.1509517082,13987365.918437893,2086.2671196121905
2890.7199450000003,2241.323477440134,1098956.1393518278,13987365.699343216,2086.400155431001
2891.7410400000003,2241.659542055211,1098957.127761208,13987365.480323156,2086.533243881861
