channel_GES,east,north,depth,latitude,longitude,elevation,utm_easting,utm_northing,utm_depth
107,45.9782,61.4374,5507.2006,38.50419274135623,-112.89623348690054,-28.569842880000124,334655.2005976391,4263462.4191257795,28.569842880000124
108,46.3453,61.1608,5517.2396,38.504192002755445,-112.89623218441436,-31.629730080000172,334655.31248971965,4263462.3348181,31.629730080000172
109,46.9162,60.7869,5527.2665,38.50419100856101,-112.89623016288863,-34.685929200000146,334655.48650003865,4263462.220853379,34.685929200000146
110,47.4871,60.413,5537.2934,38.504190014366536,-112.89622814136293,-37.74212832000012,334655.66051035916,4263462.106888658,37.74212832000012
111,48.2648,59.9175,5547.299,38.50418869803522,-112.89622538856646,-40.79183520000015,334655.89755331964,4263461.955860259,40.79183520000015
112,49.1091,59.3828,5557.2977,38.50418727785338,-112.89622240026135,-43.83943896000028,334656.1548959594,4263461.792883699,43.83943896000028
113,50.0063,58.8027,5567.29,38.50418573602433,-112.89621922386593,-46.88509200000021,334656.42836251913,4263461.616069218,46.88509200000021
114,51.0476,58.0991,5577.2646,38.50418386329409,-112.89621553512318,-49.92535008000027,334656.7457507589,4263461.401611939,49.92535008000027
115,52.0889,57.3955,5587.2392,38.5041819905637,-112.89621184638061,-52.9656081600001,334657.06313899835,4263461.187154658,52.9656081600001
116,53.259,56.5411,5597.1855,38.504179711117196,-112.89620769677973,-55.99724040000001,334657.41978547955,4263460.9267335385,55.99724040000001
117,54.4651,55.6446,5607.124,38.504177318126835,-112.89620341837129,-59.02649520000023,334657.78740475763,4263460.653480339,59.02649520000023
118,55.7233,54.6806,5617.0482,38.50417474277083,-112.8961989530763,-62.05139136000025,334658.17090411944,4263460.359653139,62.05139136000025
119,57.1063,53.5549,5626.9384,38.50417173054752,-112.89619404011344,-65.06592432000025,334658.5924425196,4263460.0165397795,65.06592432000025
120,58.4893,52.4291,5636.8286,38.50416871804944,-112.89618912714381,-68.08045728000025,334659.01398091967,4263459.67339594,68.08045728000025
121,60.0086,51.112,5646.6733,38.50416518807125,-112.89618372419649,-71.08112184000038,334659.477063559,4263459.27194386,71.08112184000038
122,61.5605,49.7491,5656.5072,38.50416153419872,-112.89617820405434,-74.07849456000031,334659.95008267905,4263458.856531939,74.07849456000031
123,63.1406,48.3386,5666.3308,38.504157751241216,-112.8961725819604,-77.0727278400002,334660.4316971592,4263458.426611539,77.0727278400002
124,64.781,46.827,5676.1326,38.504153694136875,-112.89616674191183,-80.06031648000021,334660.9316910794,4263457.965875858,80.06031648000021
